#,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1,Xc2.lambda2,Xc2.lambda3,Xc2.lambda4,Xc2.lambda5,Xc2.lambda6,Xc2.lambda7,Xc2.lambda8,Xc2.lambda9,Xc2.lambda10,Xc2.lambda11,Xc2.lambda12,Xc2.lambda13,Xc2.lambda14,Xc2.lambda15,Xc2.lambda16,Xc2.lambda17,Xc2.lambda18,Xc2.lambda19,Xc2.lambda20,Xc2.lambda21,Xc2.lambda22,Xc2.lambda23,Xc2.lambda24,Xc2.lambda25,Xc2.lambda26,Xc2.lambda27,Xc2.lambda28,Xc2.lambda29,Xc2.lambda30,target
sp|Q81LS2_p|DNAK_BACAN,18.73332312,6.332390914,5.804691671,11.0816841,0.263849621,8.707037507,16.88637577,12.40093221,1.055398486,9.762435993,13.19248107,11.87323296,2.110796971,3.957744321,6.068541293,6.596240536,10.55398486,0,2.110796971,13.72018031,0.024116967,0.024665092,0.025039258,0.023667854,0.023758712,0.025364482,0.024197774,0.022858215,0.024152874,0.024359099,0.02505941,0.024004388,0.02515831,0.023905976,0.024384455,0.02429765,0.025156529,0.024029784,0.024056515,0.02515083,0.024431411,0.023576357,0.023973909,0.024069574,0.026343573,0.025862442,0.024919214,0.025697091,0.024184831,0.025707802,1
sp|Q81X78_p|ENO_BACAN,11.33962655,4.381219349,6.185250845,7.473844771,0.257718785,2.061750282,9.793313838,11.85506412,1.804031496,8.504719912,7.989282342,5.92753206,3.092625423,4.123500563,2.834906637,5.412094489,6.185250845,0.257718785,3.350344208,8.247001127,0.025527025,0.028486926,0.023754856,0.023486066,0.025301768,0.023156532,0.025477254,0.024516895,0.025919005,0.024860851,0.024697149,0.023345346,0.025377249,0.025889383,0.02477971,0.023156815,0.024954177,0.024439286,0.022211667,0.024853011,0.025748717,0.024857585,0.024863527,0.02499679,0.023743666,0.02535397,0.024445346,0.023247973,0.025179982,0.025652689,1
sp|P13243_p|ALF_BACSU,8.378934084,1.675786817,2.792978028,2.513680225,0.837893408,1.95508462,8.378934084,7.820338478,2.513680225,4.468764845,5.585956056,5.585956056,2.513680225,2.513680225,3.630871436,4.748062647,4.748062647,0,1.95508462,6.98244507,0.024144259,0.025307947,0.025095156,0.023977084,0.025794922,0.024089163,0.024118053,0.024389021,0.025296191,0.025103532,0.023045537,0.022141798,0.023945768,0.025229595,0.024273574,0.023239106,0.024772202,0.023946064,0.024301599,0.024220623,0.02406852,0.023286208,0.024593179,0.020506102,0.022798646,0.024462231,0.023376438,0.024868409,0.024699091,0.02161218,1
tr|Q8Y498_p|Q8Y498_LISMO,8.55506943,0.827909945,2.759699816,4.691489687,0.827909945,1.931789871,6.071339596,8.279099448,2.759699816,6.347309577,4.691489687,6.347309577,2.207759853,1.65581989,3.035669798,3.587609761,3.863579743,0.551939963,1.65581989,7.727159485,0.025388842,0.026060233,0.024261074,0.022810765,0.02462897,0.023815404,0.023767714,0.024697446,0.025175937,0.024564972,0.024274326,0.02322662,0.025188517,0.024807773,0.025151,0.023464529,0.025396956,0.024291628,0.023593028,0.025261467,0.022810657,0.023864081,0.024811666,0.021711437,0.02267555,0.024867123,0.024693635,0.023913327,0.023026623,0.021828717,1
sp|P68905_p|ALF_STRP1,10.49652799,1.883992203,3.767984406,3.229700919,0.538283487,2.153133946,7.805110555,8.343394041,2.153133946,5.921118352,5.113693122,4.575409636,1.883992203,2.691417433,2.960559176,2.960559176,3.229700919,0.538283487,2.153133946,6.459401839,0.026456661,0.026514709,0.024391038,0.025068347,0.024547873,0.025490059,0.022489652,0.024068586,0.024546467,0.02538418,0.024412887,0.024216156,0.025117051,0.024661322,0.023863604,0.021431949,0.025051848,0.023720851,0.025417261,0.025693343,0.022737632,0.024170125,0.023893207,0.024602064,0.022748727,0.023174318,0.026488117,0.022764085,0.024131143,0.023604995,1
sp|P99136_p|G3P1_STAAN,8.953814484,3.686864788,3.950212272,6.847034605,0.52669497,3.160169818,6.056992151,7.373729575,1.316737424,3.686864788,6.847034605,5.530297181,2.106779879,2.633474848,2.106779879,4.740254727,6.847034605,0.52669497,2.106779879,9.480509454,0.026057224,0.025888196,0.025436457,0.023192278,0.023956339,0.02592013,0.023135463,0.024073686,0.025622393,0.024734342,0.022680699,0.025511474,0.024535821,0.024543182,0.025946192,0.026088263,0.023556228,0.023583677,0.025205171,0.025310155,0.024810876,0.024753286,0.024675239,0.023530895,0.022704487,0.026024107,0.023883308,0.023753625,0.0224566,0.025082722,1
tr|Q8CWN6_p|Q8CWN6_STRR6,8.367897127,3.922451779,4.706942134,6.01442606,0.784490356,2.353471067,5.49143249,8.890890698,1.568980711,5.229935705,6.275922846,6.275922846,2.614967852,3.660954993,2.614967852,4.968438919,7.060413201,0.52299357,2.353471067,10.19837462,0.026005399,0.026746895,0.024102293,0.025785073,0.025546985,0.024888089,0.021545304,0.023729588,0.026056471,0.025799922,0.02338326,0.025121075,0.025072176,0.024715122,0.02585779,0.025488372,0.023227201,0.02312757,0.026085229,0.026094588,0.025685692,0.024049217,0.023923939,0.022940451,0.022577747,0.025741614,0.023247687,0.024183972,0.022859849,0.024914645,1
sp|Q8Y3P9_p|CATA_LISMO,7.041699701,7.527334163,7.527334163,8.498603087,0,4.370710159,9.469872012,7.284516932,3.156624004,5.584796315,7.284516932,6.556065239,2.18535508,6.79888247,7.284516932,6.556065239,6.79888247,1.699720617,4.370710159,8.498603087,0.026065605,0.026335823,0.025329334,0.026102132,0.024989706,0.024654722,0.025097227,0.025519717,0.024758113,0.026233323,0.024029808,0.025483638,0.025044326,0.025688104,0.024692365,0.024850071,0.025034808,0.024868886,0.026053103,0.027328753,0.025553468,0.023297603,0.025284588,0.023900914,0.02531767,0.025392807,0.025749543,0.02624102,0.024378203,0.02390739,1
sp|Q9L4S1_p|CATA_STAAU,6.740792748,7.70376314,7.463020542,10.11118912,0.481485196,6.018564953,9.148218729,9.388961327,3.611138972,5.777822355,6.018564953,6.981535346,3.611138972,7.70376314,6.259307551,4.814851963,7.222277944,1.685198187,5.055594561,5.777822355,0.024785555,0.026030141,0.024923858,0.024919071,0.025309147,0.026009008,0.023943615,0.024929658,0.026465846,0.027095111,0.02478755,0.025403221,0.025779144,0.025036392,0.025382946,0.024999025,0.027242478,0.025439267,0.02315226,0.027013506,0.025512351,0.025497246,0.025157498,0.024800009,0.025841958,0.025208756,0.024942772,0.026066773,0.025092705,0.022490536,1
sp|P19669_p|TAL_BACSU,6.448610689,2.149536896,2.68692112,3.492997456,0,1.34346056,3.761689569,3.761689569,2.149536896,5.642534353,6.179918577,3.492997456,1.074768448,1.880844784,1.880844784,2.418229008,4.030381681,0.268692112,0.268692112,4.030381681,0.026808921,0.027980686,0.020802744,0.022818582,0.027909821,0.023975805,0.022401397,0.024903084,0.024590903,0.024703584,0.024443077,0.025986263,0.026200757,0.023489369,0.024540912,0.025432726,0.022956187,0.022715855,0.025869359,0.02237604,0.02213423,0.026074688,0.025100219,0.022009821,0.024765366,0.025652567,0.023317553,0.02034586,0.026350005,0.024651508,1
